paper_id,decision_timestamp,closed_at,instrument,direction,order_type,entry_price,actual_entry,stop_loss,take_profit,size,conviction,strategy,exit_price,exit_reason,pnl_pips,pnl_pct,pnl_eur,r_multiple,duration_minutes,ai_reasoning
20260415_075626_GBPUSD_BUY,2026-04-15T07:56:26+00:00,2026-04-15T10:12:00+01:00,GBPUSD,BUY,LIMIT,1.3561,1.3561,1.3553,1.359,1000,MEDIUM,ai_pullback,1.3553,SL,-0.0008,-0.059,-0.0,-1.0,75.0,"H1 pullback to EMA in D1/H4/H1 fully aligned uptrend. Price at 1.35599 sitting in entry zone (1.3561-1.3566), H1 EMA at 1.35644. H1 RSI 55.93 — healthy pullback, not exhausted. Recent H1 lows holding above 1.35568 showing structural support. SL at 1.35530 placed below H1 swing lows (1.35568) and abo"
20260415_121341_BTCUSD_BUY,2026-04-15T12:13:41+00:00,2026-04-15T15:31:00+00:00,BTCUSD,BUY,LIMIT,74150,74150,73700,75757,0.01,MEDIUM,ai_pullback,73700,SL,-450,-0.6069,-4.14,-1.0,120.0,"H1 EMA reclaim now CONFIRMED — completed H1 bar (11:00 UTC) closed at 74,207, above H1 EMA 74,135. Prior PASS was correct (10:00 bar closed 73,889 below EMA). Current bar holding above at 74,199. H1 RSI 51.63 crossed above 50. M15 confirms: price 74,199 above M15 EMA 74,087, RSI 54.91 — both trigger"
20260415_125442_BTCUSD_BUY,2026-04-15T12:54:42+00:00,2026-04-16T13:54:00+00:00,BTCUSD,BUY,LIMIT,74200,74200,73450,76120,0.01,MEDIUM,ai_pullback,73450,SL,-750,-1.0108,-6.9,-1.0,1463.0,H1 pullback-to-EMA setup in strongest D1 trend (+16%). H1 EMA reclaim confirmed (11:00 close 74207 > EMA 74155). M15 shows textbook higher-low staircase from 73822 with EMA reclaim and RSI 58.77 — trigger conditions now met for the first time today. Price at 74334 is 0.4× ATR above entry zone — LIMI
20260415_132505_BTCUSD_BUY,2026-04-15T13:25:05+00:00,2026-04-16T13:54:00+00:00,BTCUSD,BUY,LIMIT,74200.0,74200.0,73450.0,76120.0,0.01,MEDIUM,ai_pullback,73450.0,SL,-750.0,-1.0108,-6.9,-1.0,1463.0,"H1 pullback to EMA20 in confirmed D1/H4/H1 uptrend. H1 EMA reclaim confirmed (prior bar closed 74,305 > EMA 74,175). M15 trigger conditions now met: RSI 56.33 >50 and last completed M15 bar closed 74,343 > M15 EMA 74,236. Using LIMIT at 74,200 (near H1 EMA 74,175) rather than market because M15 show"
20260415_141122_XAUUSD_BUY,2026-04-15T14:11:22+00:00,2026-04-16T10:40:00-04:00,XAUUSD,BUY,LIMIT,4820.0,4820.0,4805.0,4871.0,1,MEDIUM,ai_pullback,4805.0,SL,-15.0,-0.3112,-1.28,-1.0,1391.0,"H1 13:00 UTC bar confirmed as textbook hammer (O 4811.69, L 4808.57, C 4828.92) bouncing from H1 EMA zone (4817.82) and H4 EMA (~4808). All three TFs aligned bullish — D1 above EMA 4750, H4 above EMA 4808, H1 above EMA 4818. H1 RSI 57.24 healthy, no overbought risk. Current H1 bar pulling back from "
20260415_182559_GBPUSD_BUY,2026-04-15T18:25:59+00:00,2026-04-15T21:27:00+01:00,GBPUSD,BUY,LIMIT,1.3572,1.3572,1.3564,1.359,1000,MEDIUM,ai_pullback,1.3564,SL,-0.0008,-0.0589,-0.0,-1.0,109.0,H1 pullback to EMA in clean D1/H4/H1 uptrend — regime's 'cleanest trend alignment today'. Price recovered from 1.35435 swing low and consolidated 13+ H1 bars in tight 1.35646–1.35792 range above rising H1 EMA (1.35672). M15 trigger now confirmed for first time today after 3 failed evaluations: RSI 5
20260415_205611_BTCUSD_BUY,2026-04-15T20:56:11+00:00,2026-04-16T10:48:00+00:00,BTCUSD,BUY,LIMIT,74750,74750,74330,76120,0.01,MEDIUM,ai_sr_bounce_with_trend,74330,SL,-420,-0.5619,-3.86,-1.0,814.0,"All three TFs (D1/H4/H1) fully aligned bullish with HIGH regime confidence. H1 EMA 74429 confirmed reclaimed (prior bar closed 75019). Price spiked to 75317 (H4 resistance), pulled back to 74548 (held 119 pts above H1 EMA), now recovering with M15 higher lows (74548→74664→74763) and M15 RSI 61.85 sh"
20260416_071058_XAUUSD_BUY,2026-04-16T07:10:58+00:00,2026-04-16T09:55:00-04:00,XAUUSD,BUY,LIMIT,4824.0,4824.0,4809.0,4871.0,1,MEDIUM,ai_pullback,4809.0,SL,-15.0,-0.3109,-1.28,-1.0,3.0,"H1 EMA pullback setup confirmed — first clean confirmation after multiple valid PASSes yesterday. Price 4830 is above H1 EMA 4823.08, H1 RSI 56.81 > 50, M15 forming higher lows (4811→4814→4823) with RSI 56.64 confirming recovery momentum. Using limit at 4824 near H1 EMA for entry on next retest — re"
20260416_112445_XAUUSD_BUY,2026-04-16T11:24:45+00:00,2026-04-16T10:40:00-04:00,XAUUSD,BUY,LIMIT,4818.0,4818.0,4800.0,4871.0,1,HIGH,ai_pullback,4800.0,SL,-18.0,-0.3736,-1.53,-1.0,48.0,"H1 pullback to EMA (4818.03) in confirmed D1 uptrend. Last completed H1 bar (10:00 UTC) bounced from 4805.17 low to close 4817.49 — textbook bullish momentum candle recovering the entire prior sell-off. M15 confirms: large reversal bar at 10:30 UTC (4806.77→4817.49), followed by two bars holding abo"
20260416_122603_BTCUSD_BUY,2026-04-16T12:26:03+00:00,2026-04-16T13:52:00+00:00,BTCUSD,BUY,LIMIT,74680,74680,74150,76120,0.01,MEDIUM,ai_sr_bounce_with_trend,74150,SL,-530,-0.7097,-4.88,-1.0,75.0,"Textbook S/R bounce from exact 74,279 regime support — level tagged to the tick on M15 (10:45 UTC bar low). Bounce confirmed by extraordinary volume: 43-contract M15 bar at 11:30 UTC (~20x session average). Five consecutive M15 higher lows post-bounce (74,279→74,309→74,369→74,450→74,594). M15 EMA (7"
